Year,Quarter,Month,CashGroupCode,BankCode,ExpandPlatform,ExpandPlatformType,ExpandFlowType,ExpandClientType,ExpandProductType1,ExpandProductType2,G10EM,ExpandCurrency1Region,ExpandCurrency2Region,ExpandCurrency1,ExpandCurrency2,ExpandClientRegion,ExpandHourRegion,ExpandClientCountry,ExpandValueDate,Disclosed/Non Disclosed,ExpandClientSubType,SalesCredit,ClientCount,VolumeBucket,ExpandClientCountryRegion,ExpandOrderType,ExpandPlatformVendorName,ExpandTenorBucket,ExpandTradeType,TradeCount,BlockTrade,ExpandTraderLocation,ExpandBookingType,ExpandSalesLocation,SalesCreditMethodology,Onshore/Offshore,Volume
2022,4,10,,Bank Z,Other API,API,Client,Corporate,Spot,,EM,,,USD,ZAR,EMEA,,,,,,0,,,,,,,,0,,,,,,,3663000
2024,3,7,Group B,Bank A,FXall,MDP,Client,Real Money,NDFs,,EM,,,EUR,KRW,EMEA,,,,,,0,,,,,,NDFs,,0,,,,,,,172231.1
2022,2,4,Group B,Bank N,Currenex,MDP,Client,Real Money,Outrights,,G10,,,EUR,CHF,EMEA,,,,,,0,,,,,,,,0,,,,,,,7075707.51
2023,4,11,Group A,Group A,API,API,Client,Real Money,Spot,Algo Order - Liquidity Seeking,G10,,,USD,JPY,AMER,,,,,,0,,,,,,,,0,,,,,,,10874353.64
2022,2,5,Group A,Bank L,Bloomberg,MDP,Client,Bank,Outrights,,G10,,,EUR,CAD,AMER,,,,,,0,,,,,,,,0,,,,,,,8417.667
2025,3,8,Group A,Bank L,Bloomberg,MDP,Client,Real Money,Spot,,G10,,,USD,NZD,EMEA,,,,,,0,,,,,,,,0,,,,,,,2961125
2024,1,3,Group B,Bank N,API,API,Client,Bank,Spot,,G10,,,USD,JPY,APAC,,,,,,0,,,,,,,,0,,,,,,,9119000000
2025,1,2,Group B,Bank I,API,API,Client,Other,Spot,,G10,,,USD,NOK,AMER,,,,,,0,,,,,,,,0,,,,,,,8588814.603
2025,3,7,Group B,Group B,BidFX,API,Client,Bank,Swaps,,EM,,,USD,SGD,APAC,,,,,,0,,,,,,< 1 week,,0,,,,,,,39077867.38
2024,4,11,Group B,Group B,Bloomberg,MDP,Client,Corporate,NDFs,,EM,,,USD,IDR,APAC,,,,,,0,,,,,,NDFs,,0,,,,,,,4913274.626
2025,1,1,Group A,Bank L,360T,MDP,Client,Real Money,Swaps,,G10,,,EUR,GBP,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,32730221.7
2022,3,9,Group B,Bank B,Bloomberg,MDP,Client,Hedge Fund,Spot,,EM,,,EUR,HUF,EMEA,,,,,,0,,,,,,,,0,,,,,,,44660700
2021,4,11,Group B,Bank I,FXall,MDP,Client,Corporate,Swaps,,G10,,,USD,EUR,APAC,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,52464670.12
2021,2,4,Group B,Bank N,API,API,Client,Hedge Fund,Spot,,G10,,,EUR,AUD,EMEA,,,,,,0,,,,,,,,0,,,,,,,122349211.5
2021,2,5,Group B,Bank A,Bloomberg,MDP,Client,Bank,Swaps,,G10,,,USD,SEK,APAC,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,81851912.9
2021,3,9,Group A,Bank S,FXSpotStream,API,Client,Hedge Fund,Spot,,G10,,,EUR,NOK,AMER,,,,,,0,,,,,,,,0,,,,,,,2074570000
2021,3,9,Group B,Bank B,Bloomberg,MDP,Client,Bank,Swaps,,G10,,,USD,NOK,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,694400
2023,1,3,Group B,Bank A,FXall,MDP,Client,Bank,Swaps,,G10,,,CHF,NOK,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,2020000
2023,2,4,,Bank UT,FX Connect,MDP,Client,Real Money,Swaps,Limit order,EM,,,AUD,HUF,EMEA,,,,,,0,,,,,,< 1 week,,2,,,,,,,60410.22013
2023,2,6,Group C,Group C,FXall,MDP,Client,Real Money,NDFs,,EM,,,USD,IDR,AMER,,,,,,0,,,,,,NDS,,0,,,,,,,3774284.29
2024,3,9,Group B,Bank N,Integral,MDP,Client,Bank,Spot,,G10,,,JPY,AUD,EMEA,,,,,,0,,,,,,,,0,,,,,,,1000000
2023,3,7,Group A,Bank L,FXall,MDP,Client,Corporate,Spot,,G10,,,USD,JPY,AMER,,,,,,0,,,,,,,,0,,,,,,,1398063137
2022,2,5,Group A,Group A,FX Connect,MDP,Client,Real Money,NDFs,Algo Order - Liquidity Seeking,EM,,,USD,INR,EMEA,,,,,,0,,,,,,NDFs,,0,,,,,,,503407.0917
2025,1,2,Group B,Group B,BidFX,API,Client,Real Money,Outrights,,G10,,,USD,AUD,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,600000
2025,2,4,Group B,Bank I,FXall,MDP,Client,Real Money,Swaps,,EM,,,EUR,ILS,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,69512.31205
2022,4,11,Group A,Group A,FXSpotStream,API,Client,Bank,Outrights,,EM,,,EUR,PLN,AMER,,,,,,0,,,,,,,,0,,,,,,,1243123.078
2022,4,10,Group C,Group C,EBS Direct,MDP,Client,Hedge Fund,Swaps,,EM,,,USD,SGD,AMER,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,690385.1573
2024,4,12,Group B,Group B,Bloomberg,MDP,Client,Hedge Fund,Outrights,,G10,,,USD,SEK,AMER,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,2600000
2024,3,7,Group A,Bank R,API,API,Client,Hedge Fund,Outrights,Algo Order - Liquidity Seeking,G10,,,JPY,CHF,AMER,,,,,,0,,,,,,,,0,,,,,,,2915316.286
2024,2,5,Group C,Bank U,360T,MDP,Client,Bank,Swaps,,EM,,,USD,SGD,AMER,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,50580346.56
2022,1,2,Group A,Group A,FXall,MDP,Client,Corporate,Outrights,Fixing order,G10,,,USD,GBP,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,5400000
2025,3,8,Group B,Bank A,Bloomberg,MDP,Client,Hedge Fund,NDFs,,EM,,,USD,INR,AMER,,,,,,0,,,,,,NDS,,0,,,,,,,13215490
2025,2,6,Group C,Bank W,API,API,Client,Hedge Fund,Swaps,,G10,,,USD,CAD,APAC,,,,,,0,,,,,,< 1 week,,0,,,,,,,1800000
2024,4,12,Group B,Bank N,FXSpotStream,API,Client,Hedge Fund,Outrights,,EM,,,USD,ILS,AMER,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,1000000
2025,2,6,Group B,Group B,API,API,Client,Corporate,Swaps,,EM,,,EUR,ILS,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,2280000
2023,4,11,Group A,Bank D,FXSpotStream,API,Client,Bank,Outrights,,G10,,,CHF,CAD,EMEA,,,,,,0,,,,,,,,0,,,,,,,0
2023,3,9,Group C,Group C,FXall,MDP,Client,Corporate,NDFs,,EM,,,USD,KRW,AMER,,,,,,0,,,,,,NDS,,0,,,,,,,5211242.803
2021,1,3,Group A,Group A,API,API,Client,Real Money,Spot,Fixing order,EM,,,CAD,SGD,EMEA,,,,,,0,,,,,,,,0,,,,,,,2500
2021,2,5,Group A,Group A,FXSpotStream,API,Client,Bank,Swaps,,G10,,,USD,CHF,AMER,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,2459757.118
2023,2,4,Group B,Bank A,SDP,SDP,Client,Bank,Spot,Fixing order,G10,,,EUR,GBP,EMEA,,,,,,0,,,,,,,,0,,,,,,,1602634
2023,1,1,Group A,Bank S,SDP,SDP,Client,Bank,Spot,Algo Order - Other,G10,,,CHF,NOK,EMEA,,,,,,0,,,,,,,,0,,,,,,,5620000
2022,2,6,Group B,Group B,API,API,Client,Hedge Fund,Spot,,G10,,,DKK,NOK,EMEA,,,,,,0,,,,,,,,0,,,,,,,468740
2022,3,8,Group B,Group B,Bloomberg,MDP,Client,Real Money,Swaps,,G10,,,NZD,SEK,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,213195.2378
2021,2,6,Group A,Group A,API,API,Client,Real Money,Spot,,G10,,,CHF,SEK,EMEA,,,,,,0,,,,,,,,0,,,,,,,807500
2021,1,3,Group A,Group A,Bloomberg,MDP,Client,Real Money,Spot,,G10,,,CHF,SEK,EMEA,,,,,,0,,,,,,,,0,,,,,,,2085000
2021,4,11,Group B,Bank Q,API,API,Client,Bank,Spot,,EM,,,EUR,RUB,EMEA,,,,,,0,,,,,,,,0,,,,,,,6198328.957
2022,3,7,Group B,Bank I,SDP,SDP,Client,Hedge Fund,Spot,,EM,,,USD,SGD,APAC,,,,,,0,,,,,,,,0,,,,,,,10210436.02
2021,3,7,Group A,Bank R,FXall,MDP,Client,Corporate,Swaps,,EM,,,EUR,SGD,APAC,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,33207842.85
2024,1,1,Group A,Group A,BidFX,API,Client,Real Money,Outrights,Algo order - Aggressive,G10,,,CAD,NOK,EMEA,,,,,,0,,,,,,,,0,,,,,,,1665.661432
2024,3,9,Group C,Bank O,FastMatch,ECN,ECN,Bank,Spot,,G10,,,EUR,AUD,EMEA,,,,,,0,,,,,,,,0,,,,,,,2223772
2024,2,6,Group B,Group B,360T,MDP,Client,Corporate,Spot,,G10,,,USD,GBP,APAC,,,,,,0,,,,,,,,0,,,,,,,85523.3
2023,2,6,Group A,Group A,FXSpotStream,API,Client,Real Money,Spot,Algo Order - Liquidity Seeking,EM,,,EUR,HUF,EMEA,,,,,,0,,,,,,,,0,,,,,,,100948.6795
2023,4,11,Group A,Bank S,FastMatch,ECN,ECN,Bank,Spot,,EM,,,USD,HUF,EMEA,,,,,,0,,,,,,,,0,,,,,,,60120000
2023,1,1,Group A,Group A,360T,MDP,Client,Bank,NDFs,,EM,,,EUR,TWD,EMEA,,,,,,0,,,,,,NDFs,,0,,,,,,,0
2025,1,1,Group A,Group A,FXall,MDP,Client,Bank,Swaps,,EM,,,EUR,HKD,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,16050280.36
2025,2,5,Group C,Bank UB,Other API,API,Client,Other,Spot,,EM,,,EUR,CZK,UNKNOWN,,,,,,0,,,,,,,,0,,,,,,,227545
2025,2,5,Group A,Bank D,360T,MDP,Client,Bank,Spot,,G10,,,USD,AUD,AMER,,,,,,0,,,,,,,,0,,,,,,,84650593.09
2023,4,11,Group A,Group A,360T,MDP,Client,Corporate,Swaps,,G10,,,USD,AUD,AMER,,,,,,0,,,,,,< 1 week,,0,,,,,,,523313.1
2022,3,9,Group C,Bank W,Currenex,MDP,Client,Hedge Fund,Spot,,G10,,,GBP,CAD,AMER,,,,,,0,,,,,,,,0,,,,,,,565003.0096
2022,2,6,Group A,Group A,360T,MDP,Client,Corporate,Spot,,EM,,,USD,RON,AMER,,,,,,0,,,,,,,,0,,,,,,,2261575.75
2022,1,2,Group B,Bank Q,SDP,SDP,Client,Bank,Swaps,,G10,,,USD,CAD,APAC,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,78196.66
2022,3,8,Group A,Bank R,FlexTrade,API,Client,Real Money,Spot,Algo Order - Liquidity Seeking,G10,,,USD,GBP,APAC,,,,,,0,,,,,,,,0,,,,,,,43286.8247
2024,2,6,Group B,Bank N,Bloomberg,MDP,Client,Corporate,Outrights,,G10,,,USD,JPY,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,0
2024,4,12,Group A,Group A,FXall,MDP,Client,Corporate,NDFs,,EM,,,MYR,SGD,AMER,,,,,,0,,,,,,NDFs,,0,,,,,,,0
2023,3,9,Group B,Group B,Bloomberg,MDP,Client,Real Money,Outrights,,G10,,,DKK,EUR,EMEA,,,,,,0,,,,,,,,0,,,,,,,10329900.99
2024,4,12,Group A,Bank R,FX Connect,MDP,Client,Real Money,Outrights,Algo order - Aggressive,G10,,,USD,JPY,EMEA,,,,,,0,,,,,,,,0,,,,,,,617830.2231
2021,2,5,Group C,Bank O,Portware,API,Client,Real Money,Outrights,,EM,,,USD,HKD,EMEA,,,,,,0,,,,,,,,0,,,,,,,150000
2021,3,8,Group A,Bank S,Bloomberg,MDP,Client,Hedge Fund,Swaps,,EM,,,USD,RUB,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,361510000
2021,3,7,Group C,Group C,360T,MDP,Client,Bank,Swaps,,G10,,,USD,JPY,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,164361502.4
2021,3,8,Group A,Group A,Bloomberg,MDP,Client,Corporate,Outrights,Algo Order - Liquidity Seeking,G10,,,USD,AUD,APAC,,,,,,0,,,,,,,,0,,,,,,,6454005.311
2021,1,2,Group B,Group B,API,API,Client,Corporate,Spot,,EM,,,SEK,AED,EMEA,,,,,,0,,,,,,,,0,,,,,,,54820.93515
2021,2,5,Group B,Bank Q,Bloomberg,MDP,Client,Corporate,Swaps,,G10,,,AUD,DKK,APAC,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,143501.4903
2021,1,2,Group A,Group A,Other API,API,Client,Corporate,Outrights,Algo order - Aggressive,EM,,,USD,CNH,AMER,,,,,,0,,,,,,,,0,,,,,,,0
2021,3,7,Group C,Bank U,FlexTrade,API,Client,Bank,Swaps,,G10,,,USD,EUR,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,109264100
2021,1,2,Group A,Bank S,SDP,SDP,Client,Corporate,Spot,Limit order,G10,,,JPY,GBP,EMEA,,,,,,0,,,,,,,,0,,,,,,,1380000
2025,2,6,Group B,Bank Q,FXall,MDP,Client,Corporate,Swaps,,G10,,,EUR,JPY,AMER,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,6349559.896
2024,1,2,Group C,Group C,SDP,SDP,Client,Bank,Outrights,,EM,,,GBP,SGD,EMEA,,,,,,0,,,,,,,,0,,,,,,,70379.33333
2024,1,3,Group B,Bank N,BidFX,API,Client,Bank,Swaps,,G10,,,USD,GBP,AMER,,,,,,0,,,,,,< 1 week,,0,,,,,,,760000000
2022,1,2,Group B,Group B,BidFX,API,Client,Bank,Spot,,EM,,,USD,CNH,AMER,,,,,,0,,,,,,,,0,,,,,,,3001419.863
2022,2,4,Group A,Bank R,FXall,MDP,Client,Bank,Swaps,,G10,,,EUR,GBP,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,554324882
2025,1,2,Group B,Group B,API,API,Client,Hedge Fund,Spot,Algo order - Passive,EM,,,EUR,HUF,AMER,,,,,,0,,,,,,,,0,,,,,,,416276.6
2025,1,2,Group C,Group C,SDP,SDP,Client,Corporate,Outrights,,EM,,,EUR,PLN,AMER,,,,,,0,,,,,,,,0,,,,,,,24427
2022,3,8,Group C,Group C,GainGTX,ECN,ECN,Other,Spot,,EM,,,EUR,PLN,AMER,,,,,,0,,,,,,,,0,,,,,,,3226303.573
2024,4,10,Group A,Bank R,FX Connect,MDP,Client,Hedge Fund,Spot,Algo Order - Liquidity Seeking,G10,,,USD,NZD,APAC,,,,,,0,,,,,,,,0,,,,,,,16223218.94
2024,1,1,Group A,Group A,FlexTrade,API,Client,Hedge Fund,Spot,Algo order - Aggressive,EM,,,USD,SGD,APAC,,,,,,0,,,,,,,,0,,,,,,,0
2024,4,10,Group C,Bank O,FXall,MDP,Client,Real Money,Outrights,,EM,,,GBP,SGD,EMEA,,,,,,0,,,,,,,,0,,,,,,,743439
2022,1,3,Group A,Bank S,API,API,Client,Bank,Swaps,,G10,,,EUR,SEK,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,101910000
2024,2,5,Group B,Bank N,API,API,Client,Hedge Fund,Spot,Algo Order - Liquidity Seeking,EM,,,EUR,HUF,AMER,,,,,,0,,,,,,,,0,,,,,,,294000000
2022,1,3,Group A,Group A,BidFX,API,Client,Hedge Fund,Spot,Algo Order - Liquidity Seeking,EM,,,USD,THB,AMER,,,,,,0,,,,,,,,0,,,,,,,41250000
2021,3,8,Group A,Group A,API,API,Client,Hedge Fund,Outrights,Algo Order - Time Based,G10,,,USD,AUD,EMEA,,,,,,0,,,,,,,,0,,,,,,,41954.49316
2021,2,5,Group A,Group A,Bloomberg,MDP,Client,Bank,Spot,Algo order - Aggressive,G10,,,USD,EUR,AMER,,,,,,0,,,,,,,,0,,,,,,,992385.0147
2021,4,11,Group C,Bank O,360T,MDP,Client,Bank,Spot,,EM,,,USD,SGD,APAC,,,,,,0,,,,,,,,0,,,,,,,88149000
2021,1,3,Group B,Group B,SDP,SDP,Client,Bank,Spot,,EM,,,USD,PLN,APAC,,,,,,0,,,,,,,,0,,,,,,,10303021.45
2021,1,2,Group A,Group A,SDP,SDP,Client,Bank,Swaps,,EM,,,CZK,RON,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,342500
2021,1,2,Group A,Bank D,API,API,Client,Hedge Fund,Spot,,G10,,,USD,SEK,APAC,,,,,,0,,,,,,,,0,,,,,,,10000
2021,1,2,Group C,Bank O,Currenex,MDP,Client,Corporate,Spot,,G10,,,EUR,CHF,EMEA,,,,,,0,,,,,,,,0,,,,,,,1217439
2025,1,1,Group A,Bank D,360T,MDP,Client,Real Money,Outrights,,EM,,,EUR,HKD,EMEA,,,,,,0,,,,,,,,0,,,,,,,6606120.45
2024,3,9,Group A,Bank D,FXSpotStream,API,Client,Bank,Outrights,,G10,,,CAD,SEK,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,0
2024,3,9,Group A,Bank D,360T,MDP,Client,Bank,Spot,,EM,,,NZD,MXN,EMEA,,,,,,0,,,,,,,,0,,,,,,,0
2023,1,3,Group A,Bank S,Bloomberg,MDP,Client,Hedge Fund,Spot,Algo Order - Liquidity Seeking,G10,,,EUR,NOK,AMER,,,,,,0,,,,,,,,0,,,,,,,30370000
2022,2,5,Group B,Bank B,API,API,Client,Real Money,Spot,Algo order - Passive,G10,,,USD,EUR,AMER,,,,,,0,,,,,,,,0,,,,,,,1395210.718
2023,2,5,Group A,Group A,FXall,MDP,Client,Real Money,Swaps,,EM,,,USD,THB,APAC,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,7675055.348
2023,3,9,Group B,Bank A,FXall,MDP,Client,Corporate,Outrights,,G10,,,USD,NOK,EMEA,,,,,,0,,,,,,,,0,,,,,,,52207056.13
2025,3,8,Group A,Group A,Bloomberg,MDP,Client,Bank,Swaps,,EM,,,CNH,HKD,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,0
2023,4,10,Group C,Group C,Bloomberg,MDP,Client,Bank,Swaps,,EM,,,EUR,THB,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,626077.9571
2024,3,8,Group C,Group C,FXall,MDP,Client,Corporate,Swaps,,EM,,,EUR,SGD,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,6796444.667
2024,2,4,Group A,Bank R,Integral,MDP,Client,Bank,Spot,,EM,,,USD,CZK,AMER,,,,,,0,,,,,,,,0,,,,,,,8409.1
2025,1,3,Group B,Bank I,Hotspot,ECN,ECN,Bank,Spot,,EM,,,USD,ZAR,EMEA,,,,,,0,,,,,,,,0,,,,,,,76063009.52
2022,2,4,Group C,Bank W,API,API,Client,Hedge Fund,Outrights,,EM,,,USD,THB,EMEA,,,,,,0,,,,,,,,0,,,,,,,21226656.5
2022,1,2,Group B,Bank B,API,API,Client,Real Money,Outrights,,G10,,,JPY,CAD,APAC,,,,,,0,,,,,,,,0,,,,,,,1443600
2022,3,9,Group A,Bank R,Portware,API,Client,Corporate,Outrights,Algo Order - Time Based,EM,,,USD,CNH,APAC,,,,,,0,,,,,,,,0,,,,,,,61907.81771
2025,3,7,Group A,Group A,Other API,API,Client,Bank,Spot,,G10,,,GBP,CHF,APAC,,,,,,0,,,,,,,,0,,,,,,,5212500
2021,3,8,Group A,Bank R,FXall,MDP,Client,Real Money,Swaps,,G10,,,EUR,JPY,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,147270350.2
2021,4,11,Group A,Group A,SDP,SDP,Client,Bank,Outrights,,G10,,,USD,AUD,AMER,,,,,,0,,,,,,,,0,,,,,,,805400.1375
2021,2,5,Group C,Bank W,Bloomberg,MDP,Client,Hedge Fund,Outrights,,EM,,,USD,HKD,APAC,,,,,,0,,,,,,,,0,,,,,,,19841043.4
2021,2,4,Group C,Group C,SDP,SDP,Client,Corporate,Spot,Limit order,G10,,,USD,EUR,APAC,,,,,,0,,,,,,,,0,,,,,,,21276125
2021,3,8,Group B,Bank N,Currenex,MDP,Client,Hedge Fund,Outrights,,G10,,,EUR,SEK,EMEA,,,,,,0,,,,,,,,0,,,,,,,2982.07
2021,3,9,,NULL,Bloomberg,MDP,Client,Bank,Swaps,,EM,,,JPY,CNH,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,26890009.91
2021,4,10,Group A,Bank D,Integral,MDP,Client,Hedge Fund,Swaps,,G10,,,USD,GBP,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,15000000
2021,1,3,Group C,Bank O,FXall,MDP,Client,Real Money,Swaps,,G10,,,JPY,CHF,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,4240553
2025,1,1,Group A,Bank L,360T,MDP,Client,Bank,Swaps,,EM,,,USD,TRY,AMER,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,11491111.1
2024,4,10,Group B,Bank B,Bloomberg,MDP,Client,Hedge Fund,Spot,Algo Order - Volume Based,G10,,,JPY,CHF,EMEA,,,,,,0,,,,,,,,0,,,,,,,8654013
2024,1,1,Group B,Bank A,BidFX,API,Client,Hedge Fund,Swaps,,G10,,,USD,SEK,APAC,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,2149716
2023,1,2,Group C,Bank U,Other API,API,Client,Real Money,Outrights,,EM,,,USD,CZK,EMEA,,,,,,0,,,,,,,,0,,,,,,,436287.34
2023,3,9,Group B,Group B,FXall,MDP,Client,Hedge Fund,Outrights,,G10,,,USD,CHF,APAC,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,5736700.6
2023,4,10,Group B,Bank N,API,API,Client,Hedge Fund,Spot,Limit order,G10,,,EUR,JPY,EMEA,,,,,,0,,,,,,,,0,,,,,,,1679608.967
2024,1,1,Group C,Group C,SDP,SDP,Client,Corporate,Spot,Limit order,EM,,,EUR,CNH,EMEA,,,,,,0,,,,,,,,0,,,,,,,1592011.9
2023,3,7,Group B,Bank I,360T,MDP,Client,Other,Spot,,EM,,,EUR,CNH,UNKNOWN,,,,,,0,,,,,,,,0,,,,,,,276700.3387
2023,1,2,Group B,Bank Q,SDP,SDP,Client,Corporate,Swaps,,G10,,,EUR,JPY,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,202342.6
2022,4,12,Group A,Group A,Currenex,MDP,Client,Real Money,Outrights,,G10,,,GBP,NOK,APAC,,,,,,0,,,,,,< 1 week,,0,,,,,,,0
2023,3,7,Group A,Group A,360T,MDP,Client,Real Money,Spot,Algo Order - Liquidity Seeking,EM,,,SEK,HKD,EMEA,,,,,,0,,,,,,,,0,,,,,,,2352.116473
2025,1,1,Group A,Bank D,360T,MDP,Client,Bank,Outrights,,EM,,,USD,CNY,EMEA,,,,,,0,,,,,,,,0,,,,,,,0
2022,2,6,Group C,Group C,Bloomberg,MDP,Client,Real Money,Spot,,G10,,,AUD,NOK,APAC,,,,,,0,,,,,,,,0,,,,,,,560505.235
